usps,seats,contig,max_pieces,pop_dev,overlap,coverage
AK,1,1,1,0.0,0.0,0.9999999716536785
AL,7,7,1,9.036122396867619e-05,9.645093603964496e-16,0.9999992302159646
AR,4,3,2,3.187754771338365e-05,5.228286374359226e-16,1.0000002585108214
AZ,9,9,1,0.00015689011902669548,0.0,1.0000001297096284
CA,52,41,3,0.0007043563895120627,1.5380933400459047e-15,0.9999994000898924
CO,8,8,1,0.00023173991645585493,0.0,0.9999997751854474
CT,5,4,3,0.0003574653405599845,-6.365378090567195e-16,1.000006289632973
DE,1,1,1,0.0,0.0,1.0000058113183097
FL,28,17,3,0.0020241722295381253,7.700755505595477e-16,0.9999993959967551
GA,14,12,2,0.000698288297472265,7.266589423395981e-16,0.9999992156564818
HI,2,0,5,1.1681673035468995e-05,4.641580706084136e-16,1.000003241190037
IA,4,4,1,0.00036704218226794454,-2.240221041074574e-16,0.9999994948610347
ID,2,2,1,3.2624546926604555e-05,2.3238813349788194e-15,1.0000001179904607
IL,17,17,1,0.0008028092548312763,-1.1528272178173606e-16,0.9999996266647668
IN,9,9,1,0.0001161295038498897,8.997298518932632e-16,1.000000642417227
KS,4,4,1,0.0005868177052840824,1.614585565124212e-16,1.0000001128465765
KY,6,4,3,0.00019619000780326512,4.998198735726875e-16,1.0000004291983224
LA,6,4,5,7.879329041849267e-05,9.277664119171605e-16,1.0000005493987234
MA,9,5,3,0.0010857880683370965,-9.68317337618027e-16,0.9999959439203931
MD,8,1,6,0.0006812121431892384,1.6066983515148543e-15,0.9999983728730094
ME,2,2,1,8.074230067111532e-06,-1.8339561752860075e-16,1.0000002658133325
MI,13,9,4,0.0005285129564563574,-4.212583780450223e-16,1.0000005389230266
MN,8,8,1,0.00018049611547826038,5.564464355289969e-16,0.9999995600620447
MO,8,7,2,0.000522346944627812,0.0,0.9999998036647556
MS,4,3,2,3.61330357592108e-05,8.971383111638967e-16,1.000000446496342
MT,2,2,1,4.611588922963407e-06,0.0,0.9999999695162824
NC,14,2,7,0.0006630656892912977,1.393382862550254e-16,1.0000007687043588
ND,1,1,1,0.0,0.0,0.9999998027502348
NE,3,3,1,0.00010604107868253974,0.0,1.0000003264895545
NH,2,2,1,0.00012703906778006126,-8.28031533096019e-16,0.9999997958321901
NJ,12,10,4,0.0005247069811865025,4.1769238270105757e-16,0.9999908633645981
NM,3,3,1,0.0006824014107054772,-1.1498743516872582e-16,1.0000001254315334
NV,4,3,2,0.0007981668574579642,-7.119052529232045e-16,1.000000115884685
NY,26,17,5,0.0038172392211986614,6.352066115302306e-16,1.0000006577418528
OH,15,12,4,0.00025823241900803617,1.569689919381161e-16,0.9999998841731002
OK,5,5,1,0.0005106894990166617,1.973301564215578e-16,1.0000003097135748
OR,6,6,1,9.581672667400014e-05,-1.260833004851917e-16,0.999999904634767
PA,17,17,1,0.0002846331915678425,2.834239856657269e-16,0.9999998572975672
RI,2,1,2,9.932757962381274e-05,3.7069318793246615e-16,0.9999879651513274
SC,7,7,1,0.0012628884862041839,3.392408016551756e-16,1.0000005052316319
SD,1,1,1,0.0,0.0,0.9999998375562232
TN,9,7,3,0.00031631465928886845,0.0,0.9999988903230262
TX,38,23,10,0.0010065016886824023,0.0,0.9999999838333963
UT,4,4,1,0.00039124396017136483,0.0,1.0000000517207113
VA,11,2,6,0.000362050482465617,-1.663136394578411e-16,0.9999986072156114
VT,1,1,1,0.0,0.0,0.9999991925824447
WA,10,3,6,0.0007282018657073983,2.056407206986918e-15,0.9999993355247189
WI,8,7,2,0.0014975266885860505,-1.0796556316135115e-15,1.000001136329049
WV,2,0,2,3.6795122527758016e-05,-4.1033363219351506e-16,1.0000006865001416
WY,1,1,1,0.0,0.0,0.9999999706685286
